pyramid_t80_a159_b2.5
Summary,raw,quality,coverage,comprehension
D311.M.250.I.21,17,0.5666666666666667,0.09289617486338798,0.3297814207650273
D311.M.250.I.13,25,0.5,0.1366120218579235,0.31830601092896177
D311.M.250.I.17,16,0.64,0.08743169398907104,0.3637158469945355
D311.M.250.I.24,13,0.52,0.07103825136612021,0.2955191256830601
D311.M.250.I.26,15,0.42857142857142855,0.08196721311475409,0.25526932084309134
D311.M.250.I.28,4,0.4,0.02185792349726776,0.2109289617486339
D311.M.250.I.15,16,0.64,0.08743169398907104,0.3637158469945355
D311.M.250.I.21,17,0.5666666666666667,0.09289617486338798,0.3297814207650273
D311.M.250.I.23,7,0.7,0.03825136612021858,0.3691256830601093
D311.M.250.I.16,14,0.4666666666666667,0.07650273224043716,0.2715846994535519
D311.M.250.I.12,13,0.65,0.07103825136612021,0.3605191256830601
D311.M.250.I.16,14,0.4666666666666667,0.07650273224043716,0.2715846994535519
D311.M.250.I.6,19,0.6333333333333333,0.10382513661202186,0.3685792349726776
D311.M.250.I.25,15,0.5,0.08196721311475409,0.29098360655737704
D311.M.250.I.26,15,0.42857142857142855,0.08196721311475409,0.25526932084309134
D311.M.250.I.19,15,0.5,0.08196721311475409,0.29098360655737704
D311.M.250.I.C,17,0.4857142857142857,0.09289617486338798,0.28930523028883687
D311.M.250.I.27,16,0.64,0.08743169398907104,0.3637158469945355
D311.M.250.I.19,15,0.5,0.08196721311475409,0.29098360655737704
D311.M.250.I.14,9,0.36,0.04918032786885246,0.20459016393442622
D311.M.250.I.11,13,0.65,0.07103825136612021,0.3605191256830601
D311.M.250.I.14,9,0.36,0.04918032786885246,0.20459016393442622
D311.M.250.I.7,10,0.5,0.0546448087431694,0.2773224043715847
D311.M.250.I.B,16,0.5333333333333333,0.08743169398907104,0.3103825136612022
D311.M.250.I.23,7,0.7,0.03825136612021858,0.3691256830601093
D311.M.250.I.25,15,0.5,0.08196721311475409,0.29098360655737704
D311.M.250.I.17,16,0.64,0.08743169398907104,0.3637158469945355
D311.M.250.I.32,8,0.5333333333333333,0.04371584699453552,0.28852459016393445
D311.M.250.I.31,12,0.8,0.06557377049180328,0.43278688524590164
D311.M.250.I.3,17,0.425,0.09289617486338798,0.258948087431694
D311.M.250.I.1,10,0.4,0.0546448087431694,0.2273224043715847
D311.M.250.I.12,13,0.65,0.07103825136612021,0.3605191256830601
D311.M.250.I.20,4,0.4,0.02185792349726776,0.2109289617486339
D311.M.250.I.27,16,0.64,0.08743169398907104,0.3637158469945355
D311.M.250.I.10,15,0.5,0.08196721311475409,0.29098360655737704
D311.M.250.I.13,25,0.5,0.1366120218579235,0.31830601092896177
D311.M.250.I.4,17,0.5666666666666667,0.09289617486338798,0.3297814207650273
D311.M.250.I.30,6,0.4,0.03278688524590164,0.21639344262295082
