pyramid_t80_a196_b2.5
Summary,raw,quality,coverage,comprehension
D311.M.250.I.21,19,0.5277777777777778,0.09313725490196079,0.3104575163398693
D311.M.250.I.13,30,0.5555555555555556,0.14705882352941177,0.3513071895424837
D311.M.250.I.17,11,0.6111111111111112,0.05392156862745098,0.3325163398692811
D311.M.250.I.24,11,0.6111111111111112,0.05392156862745098,0.3325163398692811
D311.M.250.I.26,22,0.5238095238095238,0.10784313725490197,0.3158263305322129
D311.M.250.I.28,11,0.4583333333333333,0.05392156862745098,0.25612745098039214
D311.M.250.I.15,16,0.5333333333333333,0.0784313725490196,0.3058823529411765
D311.M.250.I.21,19,0.5277777777777778,0.09313725490196079,0.3104575163398693
D311.M.250.I.23,8,0.6666666666666666,0.0392156862745098,0.3529411764705882
D311.M.250.I.16,12,0.6666666666666666,0.058823529411764705,0.3627450980392157
D311.M.250.I.12,15,0.625,0.07352941176470588,0.3492647058823529
D311.M.250.I.16,12,0.6666666666666666,0.058823529411764705,0.3627450980392157
D311.M.250.I.6,19,0.5277777777777778,0.09313725490196079,0.3104575163398693
D311.M.250.I.25,19,0.5277777777777778,0.09313725490196079,0.3104575163398693
D311.M.250.I.26,22,0.5238095238095238,0.10784313725490197,0.3158263305322129
D311.M.250.I.19,10,0.5555555555555556,0.049019607843137254,0.30228758169934644
D311.M.250.I.C,21,0.5833333333333334,0.10294117647058823,0.3431372549019608
D311.M.250.I.27,19,0.5277777777777778,0.09313725490196079,0.3104575163398693
D311.M.250.I.19,10,0.5555555555555556,0.049019607843137254,0.30228758169934644
D311.M.250.I.14,15,0.625,0.07352941176470588,0.3492647058823529
D311.M.250.I.11,15,0.625,0.07352941176470588,0.3492647058823529
D311.M.250.I.14,15,0.625,0.07352941176470588,0.3492647058823529
D311.M.250.I.7,21,0.7,0.10294117647058823,0.4014705882352941
D311.M.250.I.B,18,0.6,0.08823529411764706,0.34411764705882353
D311.M.250.I.23,8,0.6666666666666666,0.0392156862745098,0.3529411764705882
D311.M.250.I.25,19,0.5277777777777778,0.09313725490196079,0.3104575163398693
D311.M.250.I.17,11,0.6111111111111112,0.05392156862745098,0.3325163398692811
D311.M.250.I.32,10,0.5555555555555556,0.049019607843137254,0.30228758169934644
D311.M.250.I.31,17,0.7083333333333334,0.08333333333333333,0.39583333333333337
D311.M.250.I.3,15,0.35714285714285715,0.07352941176470588,0.21533613445378152
D311.M.250.I.1,11,0.4583333333333333,0.05392156862745098,0.25612745098039214
D311.M.250.I.12,15,0.625,0.07352941176470588,0.3492647058823529
D311.M.250.I.20,5,0.4166666666666667,0.024509803921568627,0.22058823529411767
D311.M.250.I.27,19,0.5277777777777778,0.09313725490196079,0.3104575163398693
D311.M.250.I.10,19,0.4523809523809524,0.09313725490196079,0.2727591036414566
D311.M.250.I.13,30,0.5555555555555556,0.14705882352941177,0.3513071895424837
D311.M.250.I.4,23,0.5476190476190477,0.11274509803921569,0.3301820728291317
D311.M.250.I.30,13,0.43333333333333335,0.06372549019607843,0.2485294117647059
