pyramid_t80_a110.0_b2.25,,,,,,,,,
Summary,raw,quality,coverage,comprehension,,,Raw-manual,,0.258140513
D0608.M.250.H.3,11,0.458333333,0.130952381,0.294642857,,,16,,
D0608.M.250.H.14,17,0.708333333,0.202380952,0.455357143,,,10,,
D0608.M.250.H.17,9,0.45,0.107142857,0.278571429,,,7,,
D0608.M.250.H.10,20,0.625,0.238095238,0.431547619,,,25,,
D0608.M.250.H.25,11,0.55,0.130952381,0.34047619,,,7,,
D0608.M.250.H.24,20,0.555555556,0.238095238,0.396825397,,,7,,
D0608.M.250.H.5,22,0.55,0.261904762,0.405952381,,,13,,
D0608.M.250.H.28,18,0.75,0.214285714,0.482142857,,,4,,
D0608.M.250.H.27,17,0.607142857,0.202380952,0.404761905,,,19,,
D0608.M.250.H.1,9,0.45,0.107142857,0.278571429,,,13,,
D0608.M.250.H.35,14,0.5,0.166666667,0.333333333,,,16,,
D0608.M.250.H.23,24,0.6,0.285714286,0.442857143,,,13,,
D0608.M.250.H.2,17,0.607142857,0.202380952,0.404761905,,,16,,
D0608.M.250.H.29,16,0.444444444,0.19047619,0.317460317,,,7,,
D0608.M.250.H.22,17,0.607142857,0.202380952,0.404761905,,,4,,
D0608.M.250.H.33,16,0.571428571,0.19047619,0.380952381,,,7,,
D0608.M.250.H.19,10,0.625,0.119047619,0.37202381,,,10,,
D0608.M.250.H.6,12,0.6,0.142857143,0.371428571,,,10,,
D0608.M.250.H.18,8,0.666666667,0.095238095,0.380952381,,,4,,
pyramid_t80_a90.0_b1.75,,,,,,,,,
Summary,raw,quality,coverage,comprehension,,,,,
D0608.M.250.H.3,10,0.357142857,0.113636364,0.23538961,,,,,0.347407687
D0608.M.250.H.14,13,0.464285714,0.147727273,0.306006494,,,,,
D0608.M.250.H.17,6,0.3,0.068181818,0.184090909,,,,,
D0608.M.250.H.10,17,0.53125,0.193181818,0.362215909,,,,,
D0608.M.250.H.25,7,0.4375,0.079545455,0.258522727,,,,,
D0608.M.250.H.24,19,0.678571429,0.215909091,0.44724026,,,,,
D0608.M.250.H.5,17,0.425,0.193181818,0.309090909,,,,,
D0608.M.250.H.28,12,0.5,0.136363636,0.318181818,,,,,
D0608.M.250.H.27,15,0.535714286,0.170454545,0.353084416,,,,,
D0608.M.250.H.1,6,0.3,0.068181818,0.184090909,,,,,
