Summary,raw,quality,coverage,comprehension,,Raw-manual
D0603.M.250.C.3,8,0.333333333,0.101265823,0.217299578,,19
D0603.M.250.C.14,12,0.5,0.151898734,0.325949367,,31
D0603.M.250.C.17,22,0.611111111,0.278481013,0.444796062,,37
D0603.M.250.C.10,16,0.666666667,0.202531646,0.434599156,,31
D0603.M.250.C.25,15,0.535714286,0.189873418,0.362793852,,19
D0603.M.250.C.24,18,0.45,0.227848101,0.338924051,,25
D0603.M.250.C.28,13,0.25,0.164556962,0.207278481,,31
D0603.M.250.C.27,13,0.65,0.164556962,0.407278481,,16
D0603.M.250.C.1,4,0.25,0.050632911,0.150316456,,0
D0603.M.250.C.15,18,0.5,0.227848101,0.363924051,,25
D0603.M.250.C.23,12,0.6,0.151898734,0.375949367,,25
D0603.M.250.C.2,16,0.444444444,0.202531646,0.323488045,,34
D0603.M.250.C.29,8,0.5,0.101265823,0.300632911,,16
D0603.M.250.C.22,16,0.4,0.202531646,0.301265823,,34
D0603.M.250.C.19,12,0.6,0.151898734,0.375949367,,19
D0603.M.250.C.18,8,0.333333333,0.101265823,0.217299578,,8
,,,,,,0.794770469
