pyramid_t77_a88.0_b1.0
Summary,raw,quality,coverage,comprehension
D0603.M.250.C.3,13,0.6190476190476191,0.2653061224489796,0.44217687074829937
D0603.M.250.C.14,12,0.6666666666666666,0.24489795918367346,0.45578231292517
D0603.M.250.C.17,25,0.7575757575757576,0.5102040816326531,0.6338899196042054
D0603.M.250.C.10,18,0.6666666666666666,0.3673469387755102,0.5170068027210885
D0603.M.250.C.25,17,0.6296296296296297,0.3469387755102041,0.4882842025699169
D0603.M.250.C.24,17,0.7083333333333334,0.3469387755102041,0.5276360544217688
D0603.M.250.C.28,16,0.48484848484848486,0.32653061224489793,0.40568954854669137
D0603.M.250.C.27,14,0.6666666666666666,0.2857142857142857,0.47619047619047616
D0603.M.250.C.1,9,0.6,0.1836734693877551,0.39183673469387753
D0603.M.250.C.15,15,0.5,0.30612244897959184,0.4030612244897959
D0603.M.250.C.23,9,0.5,0.1836734693877551,0.34183673469387754
D0603.M.250.C.2,14,0.5185185185185185,0.2857142857142857,0.4021164021164021
D0603.M.250.C.29,11,0.6111111111111112,0.22448979591836735,0.41780045351473927
D0603.M.250.C.22,22,0.5945945945945946,0.4489795918367347,0.5217870932156646
D0603.M.250.C.19,13,0.8666666666666667,0.2653061224489796,0.5659863945578232
D0603.M.250.C.18,12,0.8,0.24489795918367346,0.5224489795918368
pyramid_t83_a88.0_b2.5
Summary,raw,quality,coverage,comprehension
D0603.M.250.C.3,15,0.625,0.25,0.4375
D0603.M.250.C.14,12,0.6666666666666666,0.2,0.43333333333333335
D0603.M.250.C.17,24,0.7272727272727273,0.4,0.5636363636363637
D0603.M.250.C.10,19,0.7037037037037037,0.31666666666666665,0.5101851851851852
D0603.M.250.C.25,16,0.5925925925925926,0.26666666666666666,0.4296296296296296
D0603.M.250.C.24,18,0.75,0.3,0.525
D0603.M.250.C.28,17,0.4722222222222222,0.2833333333333333,0.37777777777777777
D0603.M.250.C.27,12,0.5714285714285714,0.2,0.3857142857142857
D0603.M.250.C.1,12,0.5714285714285714,0.2,0.3857142857142857
D0603.M.250.C.15,16,0.5333333333333333,0.26666666666666666,0.4
D0603.M.250.C.23,9,0.5,0.15,0.325
D0603.M.250.C.2,14,0.4666666666666667,0.23333333333333334,0.35
D0603.M.250.C.29,12,0.5,0.2,0.35
D0603.M.250.C.22,20,0.47619047619047616,0.3333333333333333,0.40476190476190477
D0603.M.250.C.19,13,0.7222222222222222,0.21666666666666667,0.46944444444444444
D0603.M.250.C.18,13,0.7222222222222222,0.21666666666666667,0.46944444444444444
pyramid_t80_a64.0_b1.0
Summary,raw,quality,coverage,comprehension
D0603.M.250.C.3,13,0.6190476190476191,0.25,0.43452380952380953
D0603.M.250.C.14,12,0.6666666666666666,0.23076923076923078,0.4487179487179487
D0603.M.250.C.17,25,0.7575757575757576,0.4807692307692308,0.6191724941724942
D0603.M.250.C.10,18,0.6666666666666666,0.34615384615384615,0.5064102564102564
D0603.M.250.C.25,17,0.6296296296296297,0.3269230769230769,0.4782763532763533
D0603.M.250.C.24,17,0.7083333333333334,0.3269230769230769,0.5176282051282052
D0603.M.250.C.28,16,0.48484848484848486,0.3076923076923077,0.3962703962703963
D0603.M.250.C.27,14,0.6666666666666666,0.2692307692307692,0.46794871794871795
D0603.M.250.C.1,10,0.6666666666666666,0.19230769230769232,0.42948717948717946
D0603.M.250.C.15,15,0.5,0.28846153846153844,0.3942307692307692
D0603.M.250.C.23,9,0.5,0.17307692307692307,0.33653846153846156
D0603.M.250.C.2,14,0.5185185185185185,0.2692307692307692,0.3938746438746439
D0603.M.250.C.29,13,0.7222222222222222,0.25,0.4861111111111111
D0603.M.250.C.22,24,0.631578947368421,0.46153846153846156,0.5465587044534412
D0603.M.250.C.19,13,0.8666666666666667,0.25,0.5583333333333333
D0603.M.250.C.18,12,0.8,0.23076923076923078,0.5153846153846154
pyramid_t80_a76.0_b1.0
Summary,raw,quality,coverage,comprehension
D0603.M.250.C.3,13,0.6190476190476191,0.25,0.43452380952380953
D0603.M.250.C.14,12,0.6666666666666666,0.23076923076923078,0.4487179487179487
D0603.M.250.C.17,25,0.7575757575757576,0.4807692307692308,0.6191724941724942
D0603.M.250.C.10,18,0.6666666666666666,0.34615384615384615,0.5064102564102564
D0603.M.250.C.25,17,0.6296296296296297,0.3269230769230769,0.4782763532763533
D0603.M.250.C.24,17,0.7083333333333334,0.3269230769230769,0.5176282051282052
D0603.M.250.C.28,16,0.48484848484848486,0.3076923076923077,0.3962703962703963
D0603.M.250.C.27,14,0.6666666666666666,0.2692307692307692,0.46794871794871795
D0603.M.250.C.1,10,0.6666666666666666,0.19230769230769232,0.42948717948717946
D0603.M.250.C.15,15,0.5,0.28846153846153844,0.3942307692307692
D0603.M.250.C.23,9,0.5,0.17307692307692307,0.33653846153846156
D0603.M.250.C.2,14,0.5185185185185185,0.2692307692307692,0.3938746438746439
D0603.M.250.C.29,13,0.7222222222222222,0.25,0.4861111111111111
D0603.M.250.C.22,24,0.631578947368421,0.46153846153846156,0.5465587044534412
D0603.M.250.C.19,13,0.8666666666666667,0.25,0.5583333333333333
D0603.M.250.C.18,12,0.8,0.23076923076923078,0.5153846153846154
pyramid_t83_a96.0_b1.5
Summary,raw,quality,coverage,comprehension
D0603.M.250.C.3,13,0.6190476190476191,0.25,0.43452380952380953
D0603.M.250.C.14,12,0.6666666666666666,0.23076923076923078,0.4487179487179487
D0603.M.250.C.17,25,0.7575757575757576,0.4807692307692308,0.6191724941724942
D0603.M.250.C.10,18,0.6666666666666666,0.34615384615384615,0.5064102564102564
D0603.M.250.C.25,17,0.6296296296296297,0.3269230769230769,0.4782763532763533
D0603.M.250.C.24,17,0.7083333333333334,0.3269230769230769,0.5176282051282052
D0603.M.250.C.28,16,0.48484848484848486,0.3076923076923077,0.3962703962703963
D0603.M.250.C.27,14,0.6666666666666666,0.2692307692307692,0.46794871794871795
D0603.M.250.C.1,10,0.6666666666666666,0.19230769230769232,0.42948717948717946
D0603.M.250.C.15,15,0.5,0.28846153846153844,0.3942307692307692
D0603.M.250.C.23,9,0.5,0.17307692307692307,0.33653846153846156
D0603.M.250.C.2,14,0.5185185185185185,0.2692307692307692,0.3938746438746439
D0603.M.250.C.29,13,0.7222222222222222,0.25,0.4861111111111111
D0603.M.250.C.22,24,0.631578947368421,0.46153846153846156,0.5465587044534412
D0603.M.250.C.19,13,0.8666666666666667,0.25,0.5583333333333333
D0603.M.250.C.18,12,0.8,0.23076923076923078,0.5153846153846154
pyramid_t85_a96.0_b1.0
Summary,raw,quality,coverage,comprehension
D0603.M.250.C.3,13,0.6190476190476191,0.25,0.43452380952380953
D0603.M.250.C.14,12,0.6666666666666666,0.23076923076923078,0.4487179487179487
D0603.M.250.C.17,25,0.7575757575757576,0.4807692307692308,0.6191724941724942
D0603.M.250.C.10,18,0.6666666666666666,0.34615384615384615,0.5064102564102564
D0603.M.250.C.25,17,0.6296296296296297,0.3269230769230769,0.4782763532763533
D0603.M.250.C.24,17,0.7083333333333334,0.3269230769230769,0.5176282051282052
D0603.M.250.C.28,16,0.48484848484848486,0.3076923076923077,0.3962703962703963
D0603.M.250.C.27,14,0.6666666666666666,0.2692307692307692,0.46794871794871795
D0603.M.250.C.1,10,0.6666666666666666,0.19230769230769232,0.42948717948717946
D0603.M.250.C.15,15,0.5,0.28846153846153844,0.3942307692307692
D0603.M.250.C.23,9,0.5,0.17307692307692307,0.33653846153846156
D0603.M.250.C.2,14,0.5185185185185185,0.2692307692307692,0.3938746438746439
D0603.M.250.C.29,13,0.7222222222222222,0.25,0.4861111111111111
D0603.M.250.C.22,24,0.631578947368421,0.46153846153846156,0.5465587044534412
D0603.M.250.C.19,13,0.8666666666666667,0.25,0.5583333333333333
D0603.M.250.C.18,12,0.8,0.23076923076923078,0.5153846153846154
pyramid_t70_a100.0_b1.0
Summary,raw,quality,coverage,comprehension
D0603.M.250.C.3,14,0.6666666666666666,0.25925925925925924,0.4629629629629629
D0603.M.250.C.14,8,0.4444444444444444,0.14814814814814814,0.2962962962962963
D0603.M.250.C.17,19,0.5277777777777778,0.35185185185185186,0.4398148148148148
D0603.M.250.C.10,13,0.48148148148148145,0.24074074074074073,0.3611111111111111
D0603.M.250.C.25,11,0.5238095238095238,0.2037037037037037,0.3637566137566138
D0603.M.250.C.24,15,0.5555555555555556,0.2777777777777778,0.4166666666666667
D0603.M.250.C.28,8,0.2222222222222222,0.14814814814814814,0.18518518518518517
D0603.M.250.C.27,13,0.7222222222222222,0.24074074074074073,0.48148148148148145
D0603.M.250.C.1,9,0.5,0.16666666666666666,0.3333333333333333
D0603.M.250.C.15,17,0.5151515151515151,0.3148148148148148,0.414983164983165
D0603.M.250.C.23,8,0.4444444444444444,0.14814814814814814,0.2962962962962963
D0603.M.250.C.2,12,0.4444444444444444,0.2222222222222222,0.3333333333333333
D0603.M.250.C.29,11,0.6111111111111112,0.2037037037037037,0.40740740740740744
D0603.M.250.C.22,17,0.4722222222222222,0.3148148148148148,0.3935185185185185
D0603.M.250.C.19,13,0.7222222222222222,0.24074074074074073,0.48148148148148145
D0603.M.250.C.18,8,0.6666666666666666,0.14814814814814814,0.4074074074074074
pyramid_t73_a88.0_b2.0
Summary,raw,quality,coverage,comprehension
D0603.M.250.C.3,14,0.6666666666666666,0.3181818181818182,0.49242424242424243
D0603.M.250.C.14,13,0.7222222222222222,0.29545454545454547,0.5088383838383839
D0603.M.250.C.17,26,0.8125,0.5909090909090909,0.7017045454545454
D0603.M.250.C.10,19,0.7037037037037037,0.4318181818181818,0.5677609427609428
D0603.M.250.C.25,13,0.6190476190476191,0.29545454545454547,0.45725108225108224
D0603.M.250.C.24,18,0.75,0.4090909090909091,0.5795454545454546
D0603.M.250.C.28,17,0.53125,0.38636363636363635,0.4588068181818182
D0603.M.250.C.27,13,0.7222222222222222,0.29545454545454547,0.5088383838383839
D0603.M.250.C.1,9,0.6,0.20454545454545456,0.4022727272727273
D0603.M.250.C.15,16,0.5333333333333333,0.36363636363636365,0.4484848484848485
D0603.M.250.C.23,13,0.7222222222222222,0.29545454545454547,0.5088383838383839
D0603.M.250.C.2,16,0.5925925925925926,0.36363636363636365,0.4781144781144781
D0603.M.250.C.29,12,0.6666666666666666,0.2727272727272727,0.46969696969696967
